year,health_tb_incidence_wb_lcn
2000,85
2001,78
2002,75
2003,72
2004,69
2005,65
2006,61
2007,58
2008,56
2009,53
2010,51
2011,51
2012,49
2013,47
2014,46
2015,45
2016,45
2017,46
2018,46
2019,46
2020,44
2021,46
2022,49
2023,50
2024,51
