year,energy_clean_share_electricity_north_america
2000,35.02
2001,33.99
2002,34.91
2003,34.41
2004,34.56
2005,34.35
2006,35.01
2007,34.06
2008,35.17
2009,37.08
2010,35.85
2011,37.86
2012,37.62
2013,38.8
2014,39.12
2015,39.56
2016,41.27
2017,43.49
2018,42.65
2019,43.61
2020,45.66
2021,45.13
2022,45.83
2023,45.92
2024,46.41
2025,47.29
