year,transport_ev_sales_share_united_states
2010,0.012000000104308128
2011,0.15000000596046448
2012,0.41999998688697815
2013,0.7099999785423279
2014,0.7699999809265137
2015,0.699999988079071
2016,0.9900000095367432
2017,1.2999999523162842
2018,2.299999952316284
2019,2.0999999046325684
2020,2.299999952316284
2021,4.699999809265137
2022,7.699999809265137
2023,9.699999809265137
2024,10
2025,10
