year,science_openalex_country_united_kingdom_index_world
2000,100
2001,99.9
2002,112.9
2003,116.4
2004,118.2
2005,127.7
2006,142.2
2007,147.3
2008,154.7
2009,165.2
2010,173.8
2011,182
2012,191.8
2013,202.5
2014,208.7
2015,219.4
2016,232
2017,233.5
2018,246.9
2019,257.3
2020,292.5
2021,297
2022,270.5
2023,283.1
2024,275.8
