year,education_out_of_school_primary_northern_africa_and_western_asia
2000,11510000
2001,11110000
2002,10560000
2003,9900000
2004,9279000
2005,9043000
2006,8615000
2007,8274000
2008,7904000
2009,7570000
2010,7335000
2011,7086000
2012,6790000
2013,6478000
2014,6258000
2015,6058000
2016,5871000
2017,5782000
2018,5841000
2019,5989000
2020,6161000
2021,6348000
2022,6519000
2023,6638000
