year,gender_gii_eca
1998,0.446
1999,0.427
2000,0.405
2001,0.387
2002,0.372
2003,0.368
2004,0.351
2005,0.348
2006,0.339
2007,0.321
2008,0.315
2009,0.309
2010,0.307
2011,0.301
2012,0.29
2013,0.284
2014,0.276
2015,0.27
2016,0.26
2017,0.246
2018,0.242
2019,0.232
2020,0.234
2021,0.23
2022,0.226
2023,0.226
