year,substance_smoking_mea
2000,27.9219744515727
2005,25.0971907882966
2007,24.2063356505135
2010,22.8523119282105
2015,20.9840315226911
2020,19.6080844328644
2021,19.3785718940494
2022,19.1056717026646
