year,health_vaccine_dtp3_world
1980,20
1981,23
1982,25
1983,37
1984,44
1985,48
1986,51
1987,55
1988,63
1989,68
1990,76
1991,71
1992,69
1993,69
1994,72
1995,72
1996,72
1997,71
1998,71
1999,71
2000,72
2001,72
2002,72
2003,74
2004,76
2005,77
2006,78
2007,78
2008,81
2009,83
2010,83
2011,84
2012,84
2013,83
2014,85
2015,85
2016,86
2017,86
2018,86
2019,86
2020,83
2021,82
2022,85
2023,84
2024,85
