year,transport_ev_sales_world
2010,7400
2011,49000
2012,120000
2013,210000
2014,330000
2015,530000
2016,780000
2017,1200000
2018,2000000
2019,2100000
2020,3000000
2021,6600000
2022,10000000
2023,14000000
2024,17000000
2025,21000000
