year,air_pollution_pm25_exposure_lmc
1998,31.128733
1999,30.73519
2000,35.310192
2001,36.98437
2002,37.044888
2003,38.51336
2004,39.26499
2005,39.17481
2006,40.552143
2007,42.10347
2008,44.21178
2009,43.798363
2010,44.04763
2011,45.904907
2012,44.63258
2013,44.635044
2014,44.1468
2015,47.863503
2016,49.095867
2017,48.162933
2018,48.12103
2019,45.172718
2020,42.867016
2021,45.288128
2022,43.290977
2023,42.382603
2024,41.337414
