year,science_openalex_country_germany_share_world
2000,2.73
2001,2.82
2002,2.86
2003,2.7
2004,2.64
2005,2.55
2006,2.65
2007,2.44
2008,2.61
2009,2.49
2010,2.53
2011,2.35
2012,2.42
2013,2.4
2014,2.37
2015,2.41
2016,2.5
2017,2.51
2018,2.67
2019,2.72
2020,2.68
2021,2.96
2022,3.01
2023,2.95
2024,2.76
