year,science_openalex_country_brazil_share_world
2000,0.65
2001,0.71
2002,0.78
2003,0.78
2004,0.81
2005,0.85
2006,0.92
2007,0.98
2008,1.05
2009,1.08
2010,1.12
2011,1.18
2012,1.36
2013,1.41
2014,1.5
2015,1.63
2016,1.73
2017,1.93
2018,2.05
2019,2.09
2020,2.24
2021,2.31
2022,2.13
2023,2.27
2024,2.18
