year,health_child_mortality_wb_mea
1990,98.9
1991,95.8
1992,93
1993,91.1
1994,89.4
1995,87.4
1996,85.2
1997,82.7
1998,80.1
1999,77.5
2000,75
2001,72.4
2002,69.9
2003,67.7
2004,65.4
2005,63.2
2006,61.3
2007,59.4
2008,57.6
2009,55.9
2010,54.2
2011,52.5
2012,51.1
2013,49.4
2014,47.6
2015,46.2
2016,44.6
2017,43.5
2018,42.7
2019,41.9
2020,40.8
2021,39.8
2022,38.7
2023,37.8
2024,36.4
