year,science_openalex_country_united_states_index_world
2000,100
2001,103.2
2002,135.5
2003,131.4
2004,132.1
2005,143.4
2006,153.4
2007,155.7
2008,169.9
2009,172.4
2010,179.8
2011,191.6
2012,194.3
2013,205
2014,211.2
2015,217
2016,220
2017,226.4
2018,249.8
2019,262.9
2020,315.6
2021,294.3
2022,384.1
2023,283.1
2024,268
