year,transport_ev_bev_share_china
2010,0.00763889
2011,0.031875
2012,0.07107505
2013,0.09154482
2014,0.277027
2015,0.7819905
2016,1.150442
2017,1.944828
2018,3.53578
2019,3.925234
2020,4.609565
2021,13.29231
2022,21.75
2023,25.4878
2024,27.18584
2025,32.67669
