year,work_informal_employment_world
2004,60.613
2005,59.982
2006,59.622
2007,59.18
2008,58.944
2009,59.105
2010,58.815
2011,58.498
2012,58.218
2013,57.88
2014,57.683
2015,57.403
2016,57.15
2017,57.084
2018,56.811
2019,56.821
2020,56.957
2021,57.59
2022,57.468
2023,57.618
2024,57.773
