year,transport_ev_sales_share_brazil
2010,0.0003499999875202775
2011,0.0002800000074785203
2012,0.0013000000035390258
2013,0.002400000113993883
2014,0.002199999988079071
2015,0.00419999985024333
2016,0.010999999940395355
2017,0.023000000044703484
2018,0.019999999552965164
2019,0.08399999886751175
2020,0.1599999964237213
2021,0.9200000166893005
2022,1.2000000476837158
2023,3
2024,6.400000095367432
2025,9
