year,health_child_mortality_wb_ssf
1990,178.5
1991,179.8
1992,178.5
1993,176.7
1994,173.5
1995,168.7
1996,169.4
1997,165.5
1998,164.7
1999,155.7
2000,150.4
2001,146.3
2002,138.9
2003,133
2004,127.7
2005,119.8
2006,114
2007,109.1
2008,104.5
2009,102.8
2010,97.2
2011,97.1
2012,90.7
2013,87.6
2014,86.8
2015,85
2016,83.4
2017,82.5
2018,79
2019,78
2020,75.9
2021,77.1
2022,78.3
2023,73.2
2024,71.2
