year,transport_ev_bev_share_world
2010,0.01127517
2011,0.05877551
2012,0.08428571
2013,0.1587065
2014,0.2666667
2015,0.4315385
2016,0.5724359
2017,0.8866667
2018,1.639024
2019,1.947115
2020,2.95302
2021,6.622727
2022,10.73529
2023,12.48175
2024,13.2
2025,16.50943
