year,economy_poverty_rate_830_world
1981,69.53
1982,69.71000000000001
1983,70.03
1984,70.1
1985,70.07
1986,69.69
1987,70.04
1988,70.08
1989,70.1
1990,70.37
1991,70.73
1992,71.15
1993,71.71
1994,71.84
1995,71.24000000000001
1996,71.32
1997,70.88
1998,70.81
1999,71.33
2000,70.57
2001,69.99
2002,69.28
2003,68.67
2004,67.4
2005,66.23
2006,64.98
2007,63.629999999999995
2008,62.55
2009,61.739999999999995
2010,60.209999999999994
2011,58.8
2012,57.52
2013,55.83
2014,54.65
2015,53.449999999999996
2016,52.400000000000006
2017,51.470000000000006
2018,50.370000000000005
2019,49.62
2020,50.44
2021,48.730000000000004
2022,48.27
2023,47.03
2024,46.07
2025,45.21
2026,44.379999999999995
