year,air_pollution_pm25_exposure_chn
1998,29.4
1999,28.1
2000,33.4
2001,34.9
2002,37.2
2003,41.6
2004,40.6
2005,43.5
2006,46.9
2007,47.7
2008,46.7
2009,45
2010,44.4
2011,49
2012,45.5
2013,48.1
2014,52.2
2015,49.6
2016,45.4
2017,43
2018,38.3
2019,37
2020,33.2
2021,31.1
2022,31
2023,32.2
2024,31.3
