year,air_pollution_pm25_exposure_nga
1998,51.4
1999,43.4
2000,52
2001,52
2002,54.4
2003,50.1
2004,52.7
2005,53.2
2006,51.3
2007,55.9
2008,57.3
2009,51.6
2010,50
2011,52.9
2012,50.6
2013,49
2014,47.6
2015,55.8
2016,55.2
2017,55.2
2018,51.9
2019,48.5
2020,52.6
2021,52.5
2022,54
2023,51.1
2024,50
