year,transport_ev_2_3_wheeler_share_indonesia
2015,0.00011999999696854502
2016,0.00039999998989515007
2017,0.0010999999940395355
2018,0.00419999985024333
2019,0.01600000075995922
2020,0.057999998331069946
2021,0.20999999344348907
2022,0.3100000023841858
2023,0.9900000095367432
2024,1.7000000476837158
2025,1
