year,science_openalex_english_share_world
2000,71
2001,68.9
2002,71.3
2003,70.1
2004,69.1
2005,69.7
2006,69.8
2007,69.7
2008,68.9
2009,68.6
2010,68.3
2011,68.9
2012,68.3
2013,68.3
2014,67.3
2015,66.5
2016,65.4
2017,68.6
2018,71.2
2019,71.8
2020,74.2
2021,77.5
2022,79.1
2023,79.8
2024,79.2
