year,health_maternal_mortality_wb_lcn
1985,183
1986,173
1987,165
1988,160
1989,152
1990,146
1991,141
1992,135
1993,129
1994,124
1995,118
1996,113
1997,108
1998,102
1999,97
2000,92
2001,90
2002,87
2003,87
2004,87
2005,85
2006,85
2007,84
2008,84
2009,83
2010,81
2011,77
2012,75
2013,74
2014,74
2015,74
2016,75
2017,76
2018,77
2019,76
2020,94
2021,140
2022,93
2023,77
