year,violence_current_war_ethiopia
1989,24358
1990,49698
1991,12225
1992,165
1993,36
1994,75
1995,25
1996,236
1998,50
1999,733
2000,50
2001,50
2002,50
2003,50
2004,50
2005,83
2006,50
2007,177
2008,50
2009,515
2010,151
2011,50
2012,50
2013,77
2014,25
2015,50
2016,50
2019,67
2020,20916
2021,124549
2022,163219
2023,1719
2024,2876
2025,4312
