year,energy_coal_generation_china
2000,1060.26
2001,1129.14
2002,1282.57
2003,1519.97
2004,1722.42
2005,1980.15
2006,2302.42
2007,2656.7
2008,2708.91
2009,2911.52
2010,3233.6
2011,3690.87
2012,3748.19
2013,4077.37
2014,4203.06
2015,4046.17
2016,4156.35
2017,4430.03
2018,4763.85
2019,4855.12
2020,4921.89
2021,5333.8
2022,5414.72
2023,5752.74
2024,5827.6
2025,5773.02
