year,science_openalex_country_united_states_share_world
2000,11.89
2001,12.24
2002,13.85
2003,12.59
2004,11.66
2005,11.87
2006,11.63
2007,10.85
2008,11.06
2009,10.32
2010,10.06
2011,9.98
2012,9.79
2013,9.83
2014,9.57
2015,9.61
2016,9.39
2017,9.8
2018,10.86
2019,11.05
2020,12.46
2021,12.37
2022,16.99
2023,11.84
2024,11.37
