year,transport_ev_sales_share_world
2010,0.012000000104308128
2011,0.07199999690055847
2012,0.17000000178813934
2013,0.28999999165534973
2014,0.4399999976158142
2015,0.6800000071525574
2016,0.949999988079071
2017,1.399999976158142
2018,2.5
2019,2.700000047683716
2020,4.400000095367432
2021,9.300000190734863
2022,15
2023,18
2024,21
2025,25
