year,substance_smoking_ecs
2000,35.0914198003185
2005,32.4073220001484
2007,31.4706170343189
2010,30.0952757844586
2015,28.0781463707136
2020,26.3798821823961
2021,26.0665750849529
2022,25.7559643766541
