year,science_openalex_country_china_multiple_world
2000,1
2001,1.29
2002,1.87
2003,2.43
2004,3.83
2005,5.28
2006,6.91
2007,8.51
2008,9.62
2009,10.88
2010,11.86
2011,12.94
2012,11.82
2013,12.09
2014,11.52
2015,10.27
2016,8.86
2017,9.74
2018,11.34
2019,12.96
2020,14.95
2021,16.56
2022,19.6
2023,20.85
2024,23.58
