year,science_openalex_country_united_kingdom_multiple_world
2000,1
2001,1
2002,1.13
2003,1.16
2004,1.18
2005,1.28
2006,1.42
2007,1.47
2008,1.55
2009,1.65
2010,1.74
2011,1.82
2012,1.92
2013,2.02
2014,2.09
2015,2.19
2016,2.32
2017,2.34
2018,2.47
2019,2.57
2020,2.93
2021,2.97
2022,2.71
2023,2.83
2024,2.76
