year,health_tb_incidence_wb_ssf
2000,359
2001,364
2002,371
2003,379
2004,382
2005,381
2006,379
2007,373
2008,361
2009,353
2010,342
2011,334
2012,322
2013,309
2014,299
2015,285
2016,267
2017,256
2018,246
2019,236
2020,228
2021,222
2022,216
2023,210
2024,205
