year,transport_ev_sales_share_france
2010,0.012000000104308128
2011,0.11999999731779099
2012,0.33000001311302185
2013,0.5299999713897705
2014,0.6899999976158142
2015,1.2000000476837158
2016,1.399999976158142
2017,1.7000000476837158
2018,2
2019,2.700000047683716
2020,11
2021,17
2022,20
2023,25
2024,24
2025,26
