year,education_out_of_school_primary_world
2000,123900000
2001,118100000
2002,112500000
2003,107100000
2004,104600000
2005,100300000
2006,96140000
2007,92560000
2008,88810000
2009,86180000
2010,83430000
2011,81130000
2012,79610000
2013,79020000
2014,78270000
2015,77640000
2016,76890000
2017,75820000
2018,74670000
2019,73620000
2020,72660000
2021,71800000
2022,71520000
2023,71130000
