year,gender_gii_sas
1990,0.708
1991,0.707
1992,0.709
1993,0.71
1994,0.709
1995,0.709
1996,0.704
1997,0.699
1998,0.692
1999,0.685
2000,0.678
2001,0.663
2002,0.665
2003,0.644
2004,0.638
2005,0.61
2006,0.599
2007,0.592
2008,0.58
2009,0.569
2010,0.559
2011,0.555
2012,0.55
2013,0.546
2014,0.536
2015,0.521
2016,0.514
2017,0.512
2018,0.513
2019,0.5
2020,0.483
2021,0.479
2022,0.474
2023,0.458
