year,air_pollution_pm25_exposure_npl
1998,24.8
1999,25.9
2000,34.2
2001,37.6
2002,34.8
2003,36.2
2004,38.4
2005,35.2
2006,39.2
2007,40.6
2008,43.2
2009,46.8
2010,41.8
2011,42.8
2012,43.9
2013,41.4
2014,43.1
2015,46.3
2016,48
2017,47.6
2018,52.6
2019,47.7
2020,41.7
2021,50.2
2022,44.3
2023,41.9
2024,40.7
