year,economy_poverty_685_world
1981,69.5
1982,69.7
1983,70
1984,70.1
1985,70.1
1986,69.7
1987,70
1988,70.1
1989,70.1
1990,70.4
1991,70.7
1992,71.2
1993,71.7
1994,71.8
1995,71.2
1996,71.3
1997,70.9
1998,70.8
1999,71.3
2000,70.6
2001,70
2002,69.3
2003,68.7
2004,67.4
2005,66.2
2006,65
2007,63.6
2008,62.5
2009,61.7
2010,60.2
2011,58.8
2012,57.5
2013,55.8
2014,54.7
2015,53.5
2016,52.4
2017,51.5
2018,50.4
2020,50.4
2021,48.7
2022,48.3
2023,47
2024,46.1
