year,science_openalex_field_social_sciences_index_world
2000,100
2001,105.3
2002,116.6
2003,126.6
2004,137.3
2005,150.3
2006,166.1
2007,197.1
2008,205.2
2009,230.5
2010,262.4
2011,280.4
2012,298.5
2013,325.7
2014,356
2015,358.4
2016,387.1
2017,398.8
2018,388.6
2019,398
2020,412.4
2021,351.4
2022,310.8
2023,335.2
2024,325.9
