year,economy_poverty_rate_300_world
1981,47.11
1982,46.72
1983,46.12
1984,45.49
1985,44.7
1986,43.769999999999996
1987,43.34
1988,42.1
1989,43.62
1990,43.41
1991,43.120000000000005
1992,42.51
1993,42.059999999999995
1994,40.73
1995,39.4
1996,38.07
1997,37.69
1998,37.92
1999,37.330000000000005
2000,36.199999999999996
2001,35.25
2002,33.739999999999995
2003,32.15
2004,30.259999999999998
2005,28.33
2006,26.99
2007,25.290000000000003
2008,24.14
2009,23.06
2010,20.979999999999997
2011,19.1
2012,17.83
2013,15.5
2014,14.510000000000002
2015,13.420000000000002
2016,12.57
2017,11.790000000000001
2018,11.12
2019,10.76
2020,11.41
2021,11.33
2022,10.89
2023,10.620000000000001
2024,10.4
2025,10.2
2026,9.98
