year,substance_smoking_ssf
2000,18.2118996063256
2005,15.2434374554072
2007,14.2386618740738
2010,12.9198477307452
2015,11.1103521549077
2020,9.65125223940089
2021,9.39658426107511
2022,9.17194179432596
