year,substance_alcohol_world
2000,5.10915904887113
2001,5.08292842618617
2002,5.00784383041766
2003,4.96427385323999
2004,4.95719089125235
2005,5.00660999592802
2006,5.10561976681874
2007,5.22690973685995
2008,5.38013131109431
2009,5.52492132478686
2010,5.71316246654972
2011,5.85417131226028
2012,5.94479682625059
2013,5.95311311472269
2014,5.92295872458566
2015,5.88625471882883
2016,5.7950791196827
2017,5.62413660585682
2018,5.44172682714356
2019,5.43067494897577
2020,4.89175910640896
