year,violence_homicide_rate_eas
2010,1.5
2011,1.4
2012,1.4
2013,1.4
2014,1.3
2015,1.3
2016,1.3
2017,1.1
2018,1
2019,0.9
2020,0.9
2021,1.4
2022,0.8
2023,0.8
