year,transport_ev_sales_share_mexico
2011,0.00039999998989515007
2012,0.009999999776482582
2013,0.0013000000035390258
2014,0.004999999888241291
2015,0.00860000029206276
2016,0.0560000017285347
2017,0.09099999815225601
2018,0.15000000596046448
2019,0.15000000596046448
2020,0.49000000953674316
2021,0.7799999713897705
2022,0.9599999785423279
2023,1.5
2024,2.200000047683716
2025,7
