year,health_maternal_mortality_wb_ssf
1985,1120
1986,1083
1987,1107
1988,1051
1989,1021
1990,1004
1991,979
1992,989
1993,963
1994,925
1995,870
1996,855
1997,832
1998,855
1999,772
2000,744
2001,726
2002,709
2003,685
2004,666
2005,658
2006,656
2007,654
2008,656
2009,652
2010,643
2011,633
2012,620
2013,610
2014,604
2015,593
2016,575
2017,554
2018,526
2019,507
2020,486
2021,501
2022,455
2023,448
