year,inequality_income_share_top10_world
1820,50.43
1850,53.92
1880,57.1
1900,58.86
1910,58.9
1920,56.75
1930,52.59
1940,52.67
1950,51.71
1960,50.22
1970,49.26
1980,51.47
1981,51.38
1982,50.98
1983,51.1
1984,51.5
1985,51.8
1986,52.11
1987,52.38
1988,52.87
1989,53.33
1990,53.62
1991,54.28
1992,55.22
1993,55.4
1994,55.95
1995,56.06
1996,56.67
1997,56.73
1998,57.39
1999,57.67
2000,58.05
2001,57.84
2002,57.56
2003,57.55
2004,57.45
2005,57.48
2006,57.28
2007,57.03
2008,56.45
2009,55.51
2010,55.23
2011,55.1
2012,54.68
2013,54.53
2014,54.02
2015,53.96
2016,53.78
2017,53.82
2018,53.68
2019,53.33
2020,53.49
2021,53.88
2022,53.84
2023,53.7
2024,53.59
