year,transport_ev_sales_share_sweden
2010,0.0013000000035390258
2011,0.05400000140070915
2012,0.3100000023841858
2013,0.5299999713897705
2014,1.399999976158142
2015,2.4000000953674316
2016,3.4000000953674316
2017,5.099999904632568
2018,7.599999904632568
2019,11
2020,32
2021,43
2022,54
2023,60
2024,58
2025,61
