year,economy_extreme_poverty_sas
1981,55.9
1982,54.2
1983,50.9
1984,50.7
1985,50.6
1986,50.7
1987,51.3
1988,51.1
1989,50.4
1990,49.7
1991,49.6
1992,48.9
1993,48.1
1994,47.4
1995,47.1
1996,46.8
2002,46
2003,45.6
2004,45
2005,43.3
2006,40.7
2007,38.1
2008,36.8
2009,34.6
2010,30.4
2011,27.6
2012,25.2
2013,22.8
2014,20
2020,9.4
2021,7.9
2022,6.1
2023,4.7
2024,3.8
