year,energy_wind_solar_share_electricity_china
2000,0.04
2001,0.05
2002,0.05
2003,0.06
2004,0.06
2005,0.08
2006,0.13
2007,0.17
2008,0.38
2009,0.75
2010,1.19
2011,1.63
2012,2.14
2013,2.7
2014,3.16
2015,3.87
2016,5.01
2017,6.4
2018,7.57
2019,8.39
2020,9.35
2021,11.52
2022,13.45
2023,15.55
2024,18.2
2025,21.84
