year,transport_ev_sales_china
2010,1400
2011,5100
2012,9900
2013,16000
2014,74000
2015,210000
2016,340000
2017,580000
2018,1100000
2019,1100000
2020,1100000
2021,3300000
2022,6000000
2023,8100000
2024,11000000
2025,13000000
