year,transport_ev_fleet_share_china
2010,0.003100000089034438
2011,0.009100000374019146
2012,0.01899999938905239
2013,0.03099999949336052
2014,0.07000000029802322
2015,0.20999999344348907
2016,0.38999998569488525
2017,0.6600000262260437
2018,1.100000023841858
2019,1.5
2020,1.7999999523162842
2021,2.9000000953674316
2022,4.800000190734863
2023,7.199999809265137
2024,10
2025,14
