year,science_publications_world
1996,984792.06
1997,1014859.4
1998,1020454.1
1999,1020812.7
2000,1070987.6
2001,1109595.8
2002,1158053.2
2003,1227472.5
2004,1339926.9
2005,1501851.2
2006,1592885.6
2007,1660716.5
2008,1755164.1
2009,1857464.9
2010,1942731
2011,2038487.2
2012,2099069.2
2013,2164924.2
2014,2245110.8
2015,2303012.2
2016,2385953
2017,2466771.8
2018,2612261.5
2019,2807631.2
2020,2949388.8
2021,3232975.5
2022,3338192
