year,health_tb_incidence_wb_eas
2000,183
2001,180
2002,177
2003,174
2004,170
2005,167
2006,163
2007,160
2008,157
2009,156
2010,151
2011,150
2012,148
2013,145
2014,143
2015,140
2016,138
2017,137
2018,135
2019,132
2020,131
2021,134
2022,143
2023,146
2024,144
