year,transport_ev_stock_united_states
2010,3800
2011,22000
2012,75000
2013,170000
2014,290000
2015,400000
2016,560000
2017,760000
2018,1100000
2019,1500000
2020,1800000
2021,2200000
2022,3000000
2023,4800000
2024,6300000
2025,7800000
