year,transport_ev_2_3_wheeler_share_viet_nam
2014,0.04500000178813934
2015,0.12999999523162842
2016,1.100000023841858
2017,1.2999999523162842
2018,2.700000047683716
2019,5
2020,6.900000095367432
2021,8.699999809265137
2022,7.699999809265137
2023,8.899999618530273
2024,9.899999618530273
2025,22
