year,economy_poor_count_830_world
1981,3141.768569
1982,3207.4550799999997
1983,3280.42724
1984,3342.115868
1985,3399.9525719999997
1986,3442.1584679999996
1987,3522.1200089999998
1988,3587.216975
1989,3652.128151
1990,3728.828411
1991,3811.235539
1992,3897.05237
1993,3990.3562399999996
1994,4059.849891
1995,4086.942898
1996,4152.736097
1997,4188.0777
1998,4244.183045
1999,4335.612330999999
2000,4348.404406
2001,4370.8414569999995
2002,4383.945229
2003,4401.37249
2004,4376.018888
2005,4354.897741
2006,4327.7076959999995
2007,4291.208743
2008,4272.399816
2009,4270.274423
2010,4215.32738
2011,4167.349088999999
2012,4128.517374
2013,4056.500972
2014,4019.3211079999996
2015,3977.851655
2016,3945.101179
2017,3919.3530619999997
2018,3876.875796
2019,3859.3183489999997
2020,3962.255087
2021,3859.9267499999996
2022,3856.446265
2023,3792.159762
2024,3751.002396
2025,3712.38964
2026,3675.094971
