year,health_tb_incidence_wb_mea
2000,132
2001,132
2002,131
2003,130
2004,128
2005,128
2006,126
2007,125
2008,125
2009,124
2010,124
2011,122
2012,121
2013,119
2014,116
2015,115
2016,114
2017,113
2018,112
2019,111
2020,108
2021,111
2022,113
2023,111
2024,110
