year,nature_red_list_index_world
1993,0.82
1994,0.82
1995,0.82
1996,0.81
1997,0.81
1998,0.81
1999,0.8
2000,0.8
2001,0.8
2002,0.79
2003,0.79
2004,0.79
2005,0.78
2006,0.78
2007,0.78
2008,0.77
2009,0.77
2010,0.77
2011,0.77
2012,0.76
2013,0.76
2014,0.76
2015,0.75
2016,0.75
2017,0.74
2018,0.74
2019,0.74
2020,0.73
2021,0.73
2022,0.73
2023,0.73
2024,0.72
