year,science_openalex_country_india_index_world
2000,100
2001,110.2
2002,129.2
2003,138.6
2004,147.7
2005,171.7
2006,211.9
2007,243.7
2008,263.3
2009,299.2
2010,352.9
2011,419.3
2012,525.6
2013,605.9
2014,697.9
2015,725.8
2016,817.9
2017,926.8
2018,979.9
2019,1032.8
2020,1301.6
2021,1453.6
2022,1584.3
2023,1746.4
2024,1917.8
