year,transport_ev_sales_share_united_kingdom
2010,0.013000000268220901
2011,0.06199999898672104
2012,0.12999999523162842
2013,0.1599999964237213
2014,0.5899999737739563
2015,1.100000023841858
2016,1.399999976158142
2017,1.899999976158142
2018,2.5999999046325684
2019,3.200000047683716
2020,11
2021,18
2022,22
2023,23
2024,27
2025,35
