year,transport_ev_sales_share_chile
2011,0.002400000113993883
2012,0.0020000000949949026
2013,0.0019000000320374966
2014,0.007899999618530273
2015,0.01899999938905239
2016,0.014999999664723873
2017,0.06400000303983688
2018,0.07999999821186066
2019,0.14000000059604645
2020,0.20000000298023224
2021,0.28999999165534973
2022,0.6000000238418579
2023,0.75
2024,2.0999999046325684
2025,4
