year,transport_ev_fleet_share_india
2010,0.005100000184029341
2011,0.006800000090152025
2012,0.013000000268220901
2013,0.012000000104308128
2014,0.013000000268220901
2015,0.014999999664723873
2016,0.014999999664723873
2017,0.020999999716877937
2018,0.02199999988079071
2019,0.02199999988079071
2020,0.028999999165534973
2021,0.054999999701976776
2022,0.1599999964237213
2023,0.3100000023841858
2024,0.47999998927116394
2025,0.75
