year,air_pollution_pm25_exposure_usa
1998,12.7
1999,12.7
2000,12.8
2001,12.5
2002,12.1
2003,11.8
2004,11.3
2005,12.2
2006,11
2007,11.4
2008,10.4
2009,9.4
2010,9.3
2011,9.4
2012,8.8
2013,8.5
2014,8.5
2015,8.1
2016,7.5
2017,7.8
2018,7.9
2019,7.3
2020,7.8
2021,8
2022,7.3
2023,8.7
2024,7.5
