year,transport_ev_fleet_share_norway
2010,0.11999999731779099
2011,0.17000000178813934
2012,0.36000001430511475
2013,0.6499999761581421
2014,1.399999976158142
2015,2.700000047683716
2016,4.400000095367432
2017,6.699999809265137
2018,9.300000190734863
2019,12
2020,18
2021,22
2022,27
2023,31
2024,35
2025,36
